icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
C25M,,,L2J,B,L,Light,4853,111,991,200,3700,200,3700,200,3700,0.55,3700,400,0.55,,1300,0.55,2000,200,2000,200,2000,135,105,991,14.39,12.98,4.2,2x 8.74kN Williams FJ44-1AP-21,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,CNJ
C303,,,L2P,A,L,Light,2340,85,533,115,1000,115,1000,115,1000,,1000,180,,,800,,800,115,800,115,800,,90,533,11.9,9.3,4.1,2 x 250 HP Continental TSIO 520 - AE turbocharged piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,Cruciform tail,Tricycle retractable,
C30J,,,L4T,C,M,Upper Medium,70300,120,950,150,2000,150,2000,150,2000,0.58,2000,330,0.58,,2835,0.58,1500,150,1500,150,1500,,130,950,40.4,29.8,11.84,4 x 4.591 SHP Allison 2100 D3 turboprops with 6 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,
C310,,,L2P,B,L,Light,2494,95,507,125,1000,125,1000,125,1000,,1000,175,,,500,,800,125,800,125,800,,94,507,11.3,9.7,3.3,2 x 240 HP Continental IO-470-M or 2 x 260 HP Continental IO-470-D or 2 x 285 HP Continental IO-520-M  piston engines with 3 blade propellers. T310: 2 x 285 HP Continental TSIO-520-B turbocharged  piston engines with 3 blade propellers.,Low wing with wing tip tanks,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
C337,,,L2P,A,L,Light,2100,85,510,110,800,110,800,110,800,,800,165,,,920,,800,110,800,110,800,,90,510,11.6,9.1,2.8,2 x 210 HP Continental IO-360-C piston engines with two blade propellers. T337: 2 x 225 HP Continental TSIO-360-C turbocharged piston engine with two blade propellers.,High wing (wing struts),Nose mounted and behind cabin,Booms with twin fins,Tricycle retractable,
C340,,,L2P,B,L,Light,2710,95,650,125,1000,125,1000,125,1000,,1000,210,,,1200,,1000,125,1000,125,1000,,93,650,11.6,10.5,3.8,2 x 285 HP Continental TSIO -520-K  or 2 x 310 HP Continental TSIO -520-NB  piston engines with 3 blade propellers.,Low wing with wing tip tanks,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
C402,,,L2P,B,L,Light,2860,95,677,125,1200,125,1200,125,1200,,1200,230,,,500,,800,125,800,125,800,,110,677,13.5,11.1,3.6,2 x 300 HP Continental TSIO-520-E or 2 x 325 HP Continental TSIO-520-VB turbocharged  piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,CN1
C404,,,L2P,A,L,Light,3830,100,700,130,1200,130,1200,130,1200,,1200,220,,,550,,800,130,800,130,800,,100,700,15.1,11.9,4,2 x 375 HP Continental GTSIO-520-M turbocharged piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,CNA
C414,,,L2P,B,L,Light,3060,100,520,130,1200,130,1200,130,1200,,1200,230,,,1100,,1000,130,1000,130,1000,,110,520,12.5,10.3,3.6,2 x 310 HP Continental TSIO-520-NB turbocharged piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
C421,,,L2P,B,L,Light,3100,100,600,130,1500,130,1500,130,1500,,1500,200,,,1000,,1000,130,1000,130,1000,,95,600,12.2,10.3,3.6,2 x 375 HP Continental GTSIO-520-H turbocharged piston engine with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
C425,,,L2T,B,L,Light,3900,105,750,135,2000,135,2000,135,2000,,2000,240,,,1250,,1500,135,1500,135,1500,,110,750,13.5,10.9,3.9,2 x 450 SHP PW  PT6A-112 turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,Regular tail (Dihedral),Tricycle retractable,
C441,,,L2T,B,L,Light,4470,105,550,135,2000,135,2000,135,2000,,2000,280,,,1200,,1500,135,1500,135,1500,,100,550,15,11.9,4,2 x 635 SHP Garrett TPE331-8-401S/402S turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,Regular tail (Dihedral),Tricycle retractable,CNC
C5,,,L4J,C,H,Upper Heavy,348820,125,2500,155,1500,155,1500,155,1500,0.74,1500,430,0.74,,6300,0.74,1000,155,1000,155,1000,,135,2500,67.9,75.3,19.8,C5: 4 x 191.3 kN GE TF39-GE-1C turbofans. C5M: 4 x 223.5 kN GE CF6-80C2 turbofans.,High wing,Underwing mounted,T-tail,Tricycle retractable,
C525,,,L2J,B,L,Light,4717,115,939,145,3000,145,3000,145,3000,0.62,3000,370,0.62,,1485,0.62,1000,145,1000,145,1000,130,110,939,14.3,13,4.2,2 x 8.45 kN Williams R-R FJ44-1A turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
C526,,,L2J,B,L,Light,3357,90,,110,2000,110,2000,110,2000,0.00,2000,260,0.00,,800,0.00,1500,110,1500,110,1500,120,115,,11.28,14.4,4.2,2 x Williams FJ44-1B delivering 1500 lbs of thrust each,Low wing,Both sides of fuselage,"Regular tail, low set",Tricycle retractable,
C550,,,L2J,B,L,Light,6850,115,1000,145,2000,145,2000,145,2000,0.60,2000,360,0.60,,1900,0.60,1000,145,1000,145,1000,150,110,1000,15.9,14.4,4.6,"Citation 2: 2 x 11.12 kN P&W JT15D-4B turbofans. Bravo: 2 x 12,23 kN P&W PW 530A turbofans.",Low wing (straight),Both sides of rear fuselage,"Regular tail, high set",Tricycle retractable,CNJ
C560,,,L2J,B,M,Light,7210,105,963,135,2500,135,2500,135,2500,0.72,2500,430,0.72,,2000,0.72,1000,135,1000,135,1000,180,110,963,13.8,14.9,4.2,"Citation 5: 2 x 12.89 kN P&W JT15D-5A turbofans. Ultra: 2 x 13.6 kN P&W JT15D-5D turbofans. Encore: 2 x 14,9 kN P&W PW 535A turbofans.",Low wing,Both sides of rear fuselage,"Regular tail, high set",Tricycle retractable,
C56X,,,L2J,B,M,Light,8709,115,1055,145,2500,145,2500,145,2500,0.65,2500,430,0.65,,2000,0.65,1000,145,1000,145,1000,180,117,1055,17,15.8,5.2,"2 x 16,2 kN P&W PW545A turbofans.",Low wing (winglets),Both sides of rear fuselage,"Regular tail, high set",Tricycle retractable,CNJ
C650,,,L2J,C,M,Light,14060,125,1600,155,4000,155,4000,155,4000,0.75,4000,470,0.75,,2200,0.75,1000,155,1000,155,1000,180,130,1600,16.31,16.9,5.11,"Citatin 3/6: 2 x 16.24 kN Allied Signal TFE 731-3B-100S turbofans. Citation 7: 2 x 18,5 kN Allied Signal TFE 731-4R-2S turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
C680,,,L2J,C,M,Light,13743,145,1200,240,2500,240,2500,240,2500,0.76,2500,460,0.76,,2800,0.76,3500,240,3500,240,3500,170,125,1200,19.24,19.37,6.2,2x 25.3kN Pratt & Whitney PW306C,Low wing,Both sides of rear fuselage,"Regular tail, mid set",Tricycle retractable,
C750,,,L2J,C,M,Lower Medium,16193,125,1740,155,3500,155,3500,155,3500,0.79,3500,550,0.79,,3250,0.79,1000,155,1000,155,1000,,130,1740,19.5,22,5.8,"2 x 28,47 kN Allison AE300 7C turbofans",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
C82R,,,L1P,A,L,Light,1340,65,250,85,800,85,800,85,800,,800,140,,,800,,500,85,500,85,500,,65,250,10.9,8.5,2.8,1 x 235 HP Lycoming O-540-L3C5D turbocharged piston engine with 2 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle retractable,
CL2T,,,A2T,B,M,Lower Medium,19890,100,844,130,1500,130,1500,130,1500,,1500,180,,,1000,,800,130,800,130,800,,105,844,28.63,19.82,8.98,2 x 2.380 SHP P&W PW123AF turboprops with 4 blade propellers.,High wing (winglets),Above wing pods,Cruciform tail,Tricycle retractable/Floats fixed,
CL30,,,L2J,C,M,Lower Medium,17622,140,1466,160,4500,160,4500,160,4500,0.79,4500,470,0.79,,3065,0.79,1500,160,1500,160,1500,180,125,1466,18.4,20.9,6.1,"2x Honeywell HTF7000 turbofans , Thrust: 6,826 lb (30.4 kN)",Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
CL35,,,L2J,C,M,Lower Medium,18416,140,1474,160,4500,160,4500,160,4500,0.79,4500,455,0.79,,3200,0.79,1500,160,1500,160,1500,180,125,1474,21,20.9,6.1,2 x Honeywell HTF7350 turbofans (33 kN),Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
CL60,,,L2J,C,M,Lower Medium,19550,145,,160,4500,160,4500,160,4500,0.73,4500,460,0.73,,3350,0.73,1000,160,1000,160,1000,160,130,,19.6,20.85,6.3,2x General Electric CF34-3A,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
CN35,,,L2T,B,M,Lower Medium,15100,100,900,130,1500,130,1500,130,1500,,1500,210,,,2500,,1500,130,1500,130,1500,,110,900,25.8,21.4,8.2,100/200: 2 x 1.750 SHP GE CT7-9C turboprops with 4 blade propellers. 300: 2 x 1.394 SHP GE CT7-9C3 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,CS5
CONC,,,L4J,E,H,,185100,220,3400,250,4000,250,4000,250,4000,0.75,4000,1500,0.75,,3900,0.75,1000,250,1000,250,1000,250,165,3400,25.6,61.66,12.2,4 x 169.3 kN R-R Olympus 593 MK 610 afterburning  turbojets.,Delta wing,Underwing mounted,No tail plane,Tricycle retractable,SSC
CP23,,,L1P,A,L,Light,760,,350,95,1400,95,1400,95,1400,,1400,140,,,539,,500,95,500,95,500,68,60,350,8.1,6.75,1.9,"1 x 300 HP Lycoming AEIO-540-L1B5D piston engine with 2, 3 or even 4 blade propeller. (depending on the version CAP 230,231 or 232)",Low wing,Nose mounted,"Regular tail, high set",Tailwheel fixed,
CRJ1,,,L2J,C,M,Lower Medium,21500,135,1600,165,2500,165,2500,165,2500,0.68,2500,420,0.68,,1800,0.68,800,165,800,165,800,190,135,1600,21.21,26.8,6.3,2 x 41 KN GE CF34-3A1 turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,CRJ
CRJ2,,,L2J,C,M,Lower Medium,21523,135,1527,165,3000,165,3000,165,3000,0.68,3000,420,0.68,,1000,0.68,1000,165,1000,165,1000,190,140,1527,21.21,26.8,6.3,2 x 41 KN GE CF34-3B1 turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,CRJ
CRJ7,,,L2J,C,M,Lower Medium,33000,135,1600,165,3000,165,3000,165,3000,0.72,3000,442,0.72,,1687,0.72,1000,165,1000,165,1000,180,135,1600,23.24,32.51,7.57,2 x 56.4 or 61.3 kN rated GE CF34 - 8C1 turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,CRJ
CRJ9,,,L2J,C,M,Lower Medium,38330,140,1770,165,2500,165,2500,165,2500,0.72,2500,450,0.72,,1550,0.72,1500,165,1500,165,1500,185,135,1770,24.9,36.2,7.5,2 x General Electric CF34-8C5 turbofans (58.4kN each),Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,CR9
CRJX,,,L2J,C,M,Lower Medium,40824,155,1996,175,3000,175,3000,175,3000,0.77,3000,440,0.77,,1345,0.77,1700,175,1700,175,1700,190,130,1996,26.18,39.13,7.5,2 x GE CF34-8C5A1 (64.5kN),Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
D228,,,L2T,A,L,Light,6400,95,700,110,1500,110,1500,110,1500,,1500,210,,,1000,,1000,110,1000,110,1000,105,85,700,16.97,16.56,4.86,100: 2 x 715 SHP Garrett TPE 331-5 turboprops with 4 blade propellers. 212: 2 x 776 SHP Garrett TPE 331-5-252D turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,D28
D28D,,,L2P,A,L,Light,5984,65,,85,1400,85,1400,85,1400,,1400,130,,,780,,1000,85,1000,85,1000,75,65,,13.8,9,2.8,2x Lycoming IO-540A aircooled flat-six 290hp each with Harzell three bladed propeller.,High wing,Both sides of fuselage,"Regular tail, low set",Tailwheel fixed,
D328,,,L2T,B,M,Light,13990,110,1000,140,2000,140,2000,140,2000,0.54,2000,310,0.54,,1000,0.54,1000,140,1000,140,1000,160,110,1000,20.98,21.11,7.24,2 x 1.815 SHP or 2 x 2.180 SHP take-off rated for short field P&W PW119A turboprops with 6 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,D38
DA40,,,L1P,A,L,Light,1200,73,305,130,700,130,700,130,700,0.00,700,130,0.00,,830,0.00,800,130,800,130,800,65,80,305,11.63,8.06,1.97,1x Fixed pitch Textron Lycoming O-360-A4M (180HP)F or&#13;&#10;1x constants speed propellor Textron Lycoming IO-360 M1A or&#13;&#10;1x constant speed FADEC controlled Thielert &quot;Centurion&quot; 135 hp (101 kW) diesel engine or&#13;&#10;Austro Engine AE 300 turbocharged common-rail injected&#13;&#10;2.0 liter diesel engine with 168 HP and EECU single lever&#13;&#10;control system,Low wing,Nose mounted,T-tail,Tricycle fixed,
DA42,,,L2P,A,L,Light,1650,85,733,140,1700,140,1700,140,1700,0.00,1700,180,0.00,,1061,0.00,1000,140,1000,140,1000,80,75,733,13.42,8.56,2.49,2x Austro turbocharged diesel engine E-4-B (114kW)&#13;&#10;,Low wing (winglets),In wing mounted,T-tail,Tricycle retractable,
DA50,,,L2P,A,L,Light,1200,75,530,110,2000,110,2000,110,2000,,2000,180,,,1000,,1000,110,1000,110,1000,80,85,530,11.7,8.8,2.2,"1x Teledyne Continental TSIO-550-J for the Superstar or Austro Engine AE300, 170hp Turbo-diesel for the Magnum. Both with a 3 or 4 bladed constant speed propeller.",Low wing (winglets),Nose mounted,T-tail,Tricycle retractable,
DC10,,,L3J,D,H,Lower Heavy,259459,150,3000,180,2000,180,2000,180,2000,0.80,2000,510,0.80,,6220,0.80,1000,180,1000,180,1000,230,149,3000,50.4,55,17.7,"Series 10: 3 x 178 kN GE CF6-6D or 3 x 182,4 kN GE CF6-6D1 turbofans. Series 30: 3 x 218 kN GE CF6-50A or 3 x 226,9 kN GE CF6-50C or 3 x 233,5 kN GE CF6-50C1/C2 or 3 x 240,2 kN GE CF6-50C2 turbofans. Series 40: 3 x 219,6 kN P&W  JT9D-20 or 3 x 235,8 kN P&W JT9D-59A  turbofans",Low wing,Underwing mounted and fin-integrated,"Regular tail, mid set",Tricycle retractable,D10/D11/D1C/D1F/D1M/D1X/D1Y
DC85,,,L4J,C,H,Lower Heavy,147400,130,3000,160,1300,160,1300,160,1300,0.78,1300,465,0.78,,4900,0.78,1000,160,1000,160,1000,210,137,3000,43.4,45.9,12.9,"Series 10: 4 x 60,5 kN P&W JT3C-6 turbofans. Series 20: 4 x 75,3 kN P&W JT4A-9 turbofans. Series 30, 40, 50: 4 x 80,6 kN P&W JT3D-3 turbofans.",Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,DC8/D85/D8T/D8F
DC86,,,L4J,C,H,Lower Heavy,158700,130,3000,160,2000,160,2000,160,2000,0.80,2000,510,0.80,,5500,0.80,1000,160,1000,160,1000,210,140,3000,43.4,57.1,12.9,Series 61/62: 4 x 80.6 kN P&W JT3D-3B turbofans. Series 63: 4 x 85.1 kN P&W JT3D-7 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,D86/D8L/D8A/D8X
DC87,,,L4J,D,H,Lower Heavy,162025,160,3050,190,2200,190,2200,190,2200,0.78,2200,460,0.78,,4830,0.78,1000,190,1000,190,1000,210,145,3050,45.2,57.1,13.1,4 x 97.9 kN CFM 56-2C5 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,D87/D8Q/D8B/D8Y
DC91,,,L2J,C,M,Lower Medium,41100,115,1615,150,2800,150,2800,150,2800,0.72,2800,380,0.72,,1265,0.72,1000,150,1000,150,1000,180,132,1615,27.28,31.86,8.38,two Pratt & Whitney JT8D-5 or Pratt & Whitney JT8D-7 (124.56kN) turbofans.,Low wing,Both sides of rear fuselage,"Regular tail, high set",Tricycle retractable,
DC92,,,L2J,C,M,Lower Medium,4450,140,1600,170,2500,170,2500,170,2500,0.74,2500,440,0.74,,1605,0.74,1000,170,1000,170,1000,210,127,1600,28.44,31.82,8.38,2x Pratt & Whitney P&W JT8D-11 (67kN),Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
DC93,,,L2J,C,M,Lower Medium,49940,140,2100,170,2000,170,2000,170,2000,0.74,2000,440,0.74,,1500,0.74,1000,170,1000,170,1000,210,127,2100,27.3,36.4,8.38,"Series 10: 2 x 54,5 kN P&W JT8D-7 turbofans. Series 20/30: 2 x 64,5 kN P&W JT8D-9 or 2 x 66,7 kN P&W JT8D-15 turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,DC9 / D9X / D9C / D9F / D91 / D92 / D93
DC94,,,L2J,C,M,Lower Medium,54885,120,,160,3000,160,3000,160,3000,0.72,3000,380,0.72,,1265,0.72,1000,160,1000,160,1000,180,131,,27.28,38.31,8.38,"2x Pratt & Whitney JT8D-7 , -9 ,-11 or -15 delivering between 14000 to 15500 lbs of thrust",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
DC95,,,L2J,C,M,Lower Medium,54934,140,2100,170,2000,170,2000,170,2000,0.72,2000,440,0.72,,1500,0.72,1000,170,1000,170,1000,210,130,2100,28.5,40.7,8.53,"Series 40: 2 x 64,5 kN P&W JT9D-15 Series 50: 2 x 71,2 kN P&W JT9D-17 turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,DC9 / D9C / D9F / D95 / D94
DH8A,,,L2T,B,M,Lower Medium,15650,100,900,130,1800,130,1800,130,1800,,1800,250,,,1000,,1500,130,1500,130,1500,150,100,900,25.9,22.3,7.5,2 x 2.000 SHP P&W 120A or 2 x 2.150 SHP P&W 121A turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,DH8
DH8C,,,L2T,B,M,Lower Medium,18642,110,1100,140,1800,140,1800,140,1800,,1800,250,,,1000,,1500,140,1500,140,1500,160,110,1100,27.4,25.7,7.5,2 x 2.380 SHP PWC PW 123 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,DH3
DH8D,,,L2T,C,M,Lower Medium,28998,115,1300,150,3500,150,3500,150,3500,,3500,360,,,1300,,1500,150,1500,150,1500,180,121,1300,28.4,32.8,8.3,2 x 5071 SHP P&W PW150A turboprops with 6 blade Dowty propellers - 4.11 meters in diameter.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,DH4
DHC6,,,L2T,A,L,Light,5670,80,500,110,1000,110,1000,110,1000,,1000,160,,,900,,1000,110,1000,110,1000,,70,500,19.8,15.1,5.9,100: 2 x 578 SHP P&W PT6A-20 turboprops with 3 blade propellers. 200: 2 x 652 SHP P&W PT6A-27 turboprops with 3 blade propellers.,High wing (wing struts),(Front) Wing leading mounted,"Regular tail, high set",Tricycle fixed,DHT
DHC7,,,L4T,A,M,Lower Medium,21320,90,900,120,1000,120,1000,120,1000,,1000,220,,,1600,,800,120,800,120,800,150,90,900,28.4,24.6,8,4 x 1.120 SHP P&W PT6A-50 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,DH7
DR40,,,L1P,A,L,Light,1100,,350,100,800,100,800,100,800,,800,140,,,450,,500,100,500,100,500,,65,350,8.7,7,2.2,1 x 112 HP Lycoming O-235-L2A or 1 x 160 HP Lycoming O-320 or 1 x 180 HP Lycoming O-320-A or 1 x 200 HP Lycoming O-360 piston engine with 2 blade propeller. DR-400/125: 1 x 112 HP Lycoming O-240 piston engine with 3 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle fixed,
E110,,,L2T,B,L,Light,5900,90,1200,120,1000,120,1000,120,1000,,1000,220,,,1000,,800,120,800,120,800,,100,1200,15.3,14.2,4.9,2 x 680 SHP P&W PT6A-27 or 2 x 750 SHP P&W PT6A-34 turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,EMB
E120,,,L2T,B,M,Light,12000,120,1400,150,1500,150,1500,150,1500,0.45,1500,290,0.45,,1600,0.45,1500,150,1500,150,1500,170,126,1400,19.8,20,6.4,2 x 1.800 SHP PWC PW 118 turboprops with 4 blade propellers.,Low wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,EM2
E121,,,L2T,B,L,Light,5670,125,900,155,1500,155,1500,155,1500,,1500,235,,,900,,1500,155,1500,155,1500,95,120,900,14.5,12.3,4.7,Xingu1: 2 x 680 SHP PWC PT6A-28 turboprops with 3 blade propellers. Xingu2: 2 x 850 SHP PWC PT6A-42 turboprops with 4 blade propellers.,Low wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,
E135,,,L2J,C,M,Lower Medium,19990,125,1400,160,3500,160,3500,160,3500,0.56,3500,320,0.56,,1200,0.56,1500,160,1500,160,1500,180,130,1400,20.2,26.3,6.7,"ER: 2 x 31,3 kN Allison AE-3007A3 turbofans. LR: 2 x 33,0 kN Allison AE-3007A4 turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
E145,,,L2J,C,M,Lower Medium,21198,130,2000,165,2500,165,2500,165,2500,0.56,2500,440,0.56,,1200,0.56,1000,165,1000,165,1000,180,135,2000,20.2,29.8,6.7,"ER: 2 x 31,3 kN Allison AE-3007A turbofans. LR: 2 x 30,0 kN Allison AE-3007A1 turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,EM4/EMJ
E170,,,L2J,C,M,Lower Medium,35995,138,1644,190,3400,190,3400,190,3400,0.75,3400,460,0.75,,2100,0.75,2300,190,2300,190,2300,210,130,1644,26,29.9,9.85,2x GF34-8E,Low wing (winglets),Underwing mounted,Regular tail (Dihedral),Tricycle retractable,E70
E190,,,L2J,C,M,Lower Medium,45995,138,2056,190,3400,190,3400,190,3400,0.75,3400,460,0.75,,2400,0.75,2100,190,2100,190,2100,210,131,2056,28.7,36.2,10.6,General Electric CF34-10E,Low wing (winglets),Underwing mounted,Regular tail (Dihedral),Tricycle retractable,
E195,,,L2J,C,M,Lower Medium,52290,140,1432,190,3000,190,3000,190,3000,0.75,3000,447,0.75,,2300,0.75,2000,190,2000,190,2000,210,135,1432,28.7,38.65,10.55,2 x Pratt&Whitney PW190G (85-102kN) or 2 x General Electric CF34-10 (82kN) turbofans,Low wing (winglets),Underwing mounted,"Regular tail, mid set",Tricycle retractable,E95
E2,,,L2T,B,M,Lower Medium,23850,105,600,135,3000,135,3000,135,3000,,3000,290,,,1500,,1500,135,1500,135,1500,120,105,600,24.6,17.6,5.6,2 x 5.100 SHP Allison T56-A-425 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,Wide-span tail with four fins,Tricycle retractable,
E3CF,,,L4J,D,H,Lower Heavy,151955,134,2700,155,2200,155,2200,155,2200,0.73,2200,420,0.73,,5000,0.73,1000,155,1000,155,1000,210,150,2700,44.4,46.6,12.6,4 x 106.8 kN CFM 56-2A-2/3 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,
E3TF,,,L4J,D,H,Lower Heavy,156000,125,2900,155,2000,155,2000,155,2000,0.72,2000,420,0.72,,4000,0.72,1000,155,1000,155,1000,180,150,2900,44.4,46.6,12.7,4 x 93.4 kN Pratt & Whitney TF33-PW-100 turbofans.,Low wing,Underwing mounted,"Regular tail, low set",Tricycle retractable,
E50P,,,L2J,B,L,Light,4750,110,1036,200,3500,200,3500,200,3500,0.68,3500,370,0.68,,1200,0.68,1500,200,1500,200,1500,100,120,1036,12.3,12.8,4.4,"2 × Pratt & Whitney Canada PW617F-E turbofans, 7.2 kN (1,695 lbf) each&#13;&#10;",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
E55P,,,L2J,C,M,Light,7951,110,956,200,4000,200,4000,200,4000,0.75,4000,450,0.75,,1970,0.75,1500,200,1500,200,1500,140,115,956,16.2,15.9,5,"2 × Pratt & Whitney Canada PW535E turbofans, 14.2 kN (3,200 lbf) each&#13;&#10;",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
EC35,,,H2T,A,L,Light,2950,,0,110,1500,110,1500,110,1500,,1500,135,,,340,,1500,110,1500,110,1500,0,5,0,10.2,12.16,3.51,2 x Pratt & Whitney 206B2 498kW (667shp) or 2 x Turbomecca Arrius 2B2 473kW (634 shp),Four-blade main rotor,In fuselage,Six-blade tail rotor,Skids,
EH10,,,L3T,A,M,Light,15600,,,60,1300,60,1300,60,1300,,1300,150,,,570,,1500,60,1500,60,1500,,50,,18.6,22.83,6.66,3x Rolls-Royce / Turbomeca (General Electric) RTM 322-02 (T700-T6A/3) 2101shp (1567kW),Four bladed main rotor,Above cabin,four blade tail rotor,Tricycle retractable,
ETAR,,,L1J,B,M,Light,10200,130,400,160,19700,160,19700,160,19700,0.80,19700,590,0.80,,1800,0.80,10000,160,10000,160,10000,,120,400,9.6,14.3,3.9,1 x 49 KN SNECNA Atar 8K-50 turbojet.,Delta wing,In fuselage,Cruciform tail,Tricycle retractable,
EUFI,,,L2J,D,M,Lower Medium,23500,145,700,175,45000,175,45000,175,45000,0.85,45000,480,0.85,,1000,0.85,10000,175,10000,175,10000,,150,700,10.95,15.96,5.28,"2 x Eurojet EJ 200 afterburning turbofan, giving 60kN (13,600 lbf) each without afterburner and 90kN (20,000 lbf) each with afterburner.",High wing (winglets),Both sides of fuselage,No tail plane,Tricycle retractable,
F1,,,L1J,D,M,Light,13674,,,240,35000,240,35000,240,35000,0.95,35000,920,0.95,,1550,0.95,4500,240,4500,240,4500,130,152,,7.88,17.86,4.48,2 x Ishikawa-Harima TF40-801A each delivering 22.8kN thrust. With afterburner each engine will produce 35.6kN thrust,High delta wing,In rear fuselage,"Regular tail, low set",Tailwheel retractable,
F100,,,L2J,C,M,Lower Medium,43390,135,1700,165,2500,165,2500,165,2500,0.60,2500,405,0.60,,3100,0.60,800,165,800,165,800,200,130,1700,28.1,35.5,8.5,"2 x 44 kN R-R RB.183 Mk 555-15P or 2 x 61,2 kN RR Tay Mk 620-15 or 2 x 67.6 kN R-R Tay Mk 650-15 turbofans",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,100
F104,,,L1J,E,M,Light,14060,,,270,48000,270,48000,270,48000,,48000,1100,,,365,,35000,270,35000,270,35000,220,180,,7,16.7,4.1,"1 x 52,8 kN GE J79-GE19 dry or 1 x 79,6 kN GE J79-GE19 with afterburner turbojet.",Mid wing,In fuselage,T-tail,Tricycle retractable,
F117,,,L2J,E,M,Lower Medium,23800,165,1000,195,10000,195,10000,195,10000,0.76,10000,455,0.76,,1000,0.76,5000,195,5000,195,5000,,180,1000,13.3,20.3,3.8,2 x 48.0 kN GE F404-GE-F1D2 non augmented turbofans.,Delta wing,Both sides of fuselage,Butterfly tail,Tricycle retractable,
